Name,External_ID__c,Description__c,Difficulty_to_Bake__c,Flavor_Texture_Description__c,Suggested_Uses__c,Flavor_Tags__c,Texture_Tags__c
White Bread,White_Bread,"<p>White bread is the most common type of bread in many countries. It has a mild flavor and a pale, golden color. During the milling process, the bran and germ layers of the wheat kernel are removed, along with most of the natural oils. This extends shelf life but also strips away much of the fiber and nutrients found in wholegrain flours.</p>",Easy,"<li>Mild, neutral flavor</li><li>Soft, airy crumb</li><li>Thin, light crust</li>","Sandwiches, toast, bread pudding, breadcrumbs",Mild,Soft;Airy
Wholewheat Bread,Wholewheat_Bread,"<p>Wholewheat bread, also known as wholemeal bread, is made from flour that contains the entire grain, including the bran, germ, and endosperm. Because it retains these components, it offers more fiber, vitamins, and minerals than white bread and has greater nutritional value overall.<br />Whole wheat bread has a richer, nuttier flavor and a denser, chewier texture than white bread. It's hearty, wholesome, and one of the most satisfying breads to bake at home.</p>",Easy,"<li>Nutty, earthy flavor</li><li>Dense, chewy crumb</li><li>Hearty, rustic crust</li>","Open-faced sandwiches, avocado toast, hearty soups, toast, or stuffing",Nutty;Earthy,Dense;Chewy;Rustic
Rye Bread,Rye_Bread,"<p>Rye bread is made with rye flour and is a staple in classic deli sandwiches like the Reuben. It ranges from light to dark depending on how the rye grain is milled and which portion of the berry is used.<br />In Europe, rye bread is often made entirely from rye flour, producing a dense, tangy loaf. In the United States, it's commonly blended with wheat flour and flavored with molasses or cocoa powder to deepen the color and sweetness. Caraway seeds are frequently added for an aromatic finish.</p>",Medium,"<li>Earthy and slightly sour</li><li>Dense, chewy crumb</li><li>Fragrant with caraway seeds</li>","Grilled sandwiches, smoked salmon, or sharp cheeses",Earthy,Dense;Chewy
Sourdough Bread,Sourdough_Bread,"<p>Sourdough bread is made through a long fermentation process that relies on wild yeast and naturally occurring lactobacilli. These microorganisms live in a mixture of flour and water known as a starter, which gives sourdough its signature tang and slow rise. Because wild yeast ferments more gradually than commercial yeast, the dough develops a deeper flavor and distinct chew.<br />Sourdough typically contains less gluten than conventional breads, producing a crisp crust, airy interior, and complex, tangy taste. A hallmark of the San Francisco Bay Area, sourdough is prized for its flavor and digestibility.</p>",Hard,"<li>Tangy, complex sour notes</li><li>Open, chewy crumb</li><li>Crisp, golden crust</li>","Artisan sandwiches, bruschetta, toast, or soup dipping",Tangy,Chewy;Crisp
Multigrain Bread,Multigrain_Bread,"<p>Multigrain bread is made from a combination of at least two different grains - such as wheat, barley, oats, millet, or flax. While it doesn’t always contain whole grains, versions made with them are denser, more flavorful, and higher in nutrients. Its hearty, nutty profile makes it a favorite choice for sandwiches and breakfast toasts.</p>",Medium,"<li>Nutty, hearty flavor</li><li>Dense, slightly chewy crumb</li><li>Grainy crust</li>","Hearty sandwiches, breakfast toast, or open-faced tartines",Nutty,Hearty;Grainy;Rustic
Baguette,Baguette,"<p>The baguette is one of France's most iconic culinary symbols, dating back to the early 19th century. Found in nearly every bakery and café, it's defined by its long, slender shape, crisp crust, and soft, airy interior.<br />Baguettes are typically made with just four ingredients - flour, water, yeast, and salt. The dough is shaped into narrow loaves and baked at high heat to create their signature golden crust and chewy crumb.</p>",Hard,"<li>Mild wheat flavor</li><li>Light, airy crumb</li><li>Thin, crisp crust</li>","Sandwiches, cheese boards, crostini, or simply with butter, jam, or charcuterie",Mild,Airy;Crusty
Ciabatta,Ciabatta,"<p>Ciabatta, meaning ""slipper"" in Italian, is a light, airy bread with a thin, chewy crust and a porous, open crumb. Made with high-gluten flour, yeast, and water, the dough is left to rise slowly, developing elasticity and depth of flavor.<br />Beloved in Italian bakeries and cafés, ciabatta is ideal for panini and sandwiches thanks to its sturdy structure and mild flavor. It can also be brushed with olive oil before baking or infused with herbs for extra aroma.</p>",Medium,"<li>Mild, wheaty flavor</li><li>Open, airy crumb</li><li>Thin, chewy crust</li>","Panini, bruschetta, bread baskets, hearty soups, or strong cheeses",Mild,Holey;Chewy
Pumpernickel Bread,Pumpernickel_Bread,"<p>Pumpernickel is a dark, dense German rye bread known for its deep, earthy flavor and slightly sweet, nutty taste. Made from coarse rye flour, water, and yeast, it’s steamed or baked slowly at low temperatures to achieve its signature moist texture and rich color.<br />Hearty and aromatic, pumpernickel pairs beautifully with smoked fish, pastrami, or robust cheeses and adds depth to sandwiches and soup platters alike.</p>",Medium,"<li>Deep, earthy flavor</li><li>Dense, moist crumb</li><li>Slightly sweet and nutty</li>","Smoked fish, pastrami, hearty soups, or strong cheeses",Deep;Earthy,Sweet;Dense
Brioche,Brioche,"<p>Brioche is a classic French bread made with flour, butter, eggs, sugar, and yeast. Its rich, buttery dough creates a tender crumb and golden crust, making it one of the most beloved enriched breads in the world. The dough is left to rise slowly, developing an airy, delicate texture and a subtly sweet flavor.<br />Versatile and indulgent, brioche can be served at breakfast with butter or jam, used for sandwiches and burgers, or transformed into desserts like bread pudding, tarts, and sweet rolls.</p>",Hard,"<li>Buttery and slightly sweet</li><li>Light, fluffy crumb</li><li>Soft, golden crust</li>","Gourmet burgers, sweet rolls, bread pudding, or tarts",Buttery;Sweet,Light;Fluffy
Flatbread,Flatbread,"<p>Flatbread is a simple, unleavened bread made without yeast and rolled into thin, round sheets. Typically prepared by mixing wheat flour with water, salt, and sometimes a touch of oil or butter, the dough is kneaded until soft and elastic, then cooked on a hot pan, griddle, or open flame.<br />Flatbreads appear in cuisines around the world under different names. In India, chapatis and naan are common staples; in Mexico, tortillas are filled with meats and vegetables; and in Ethiopia, injera serves as both bread and utensil for stews.</p>",Easy,"<li>Mild, neutral flavor</li><li>Thin and soft, or crisp when toasted</li><li>Pleasantly chewy bite</li>","Wraps, pizzas, or dips such as hummus, curry, or tzatziki",Mild,Soft;Chewy
